id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,likes_missing,comments,views,views_missing,owner_username,pillar,engagement_score
3672986201188187960,reel,Video,clips,https://www.instagram.com/p/DL5EX1au784/,DL5EX1au784,2025-07-09T15:18:48.000Z,2025-07-09,Wednesday,15,"Good vibes, good energy at one of my favorite spots in Ghana. @treehousegh",74,5,ghana solotraveler neverstoptravelling theculturetrip lawyersofinstagram,1,treehousegh,8,false,1,448,false,mgreen121,ambience/decor/vibe,17.48
3668767316888266453,reel,Video,clips,https://www.instagram.com/p/DLqFG_OsCbV/,DLqFG_OsCbV,2025-07-03T19:32:58.000Z,2025-07-03,Thursday,19,"It’s not just a meal, it’s an experience. Make memories at our table. #treehouserestaurant #reels #dinner #foodlover #goodfood #explore #goodtimes",146,7,treehouserestaurant reels dinner foodlover goodfood explore goodtimes,0,,19,false,0,1919,false,treehousegh,food,38.19
3675843530865139409,reel,Video,clips,https://www.instagram.com/p/DMDODdDIl7R/,DMDODdDIl7R,2025-07-13T13:59:22.000Z,2025-07-13,Sunday,13,The brew that started it all. ☕✨ This is Cafecito. Ready for the next brew? #Cafecito #MorningBrew #CoffeeVibes #MorningParty #AccraEvents #GoodVibesOnly #fyp,158,7,cafecito morningbrew coffeevibes morningparty accraevents goodvibesonly fyp,0,,114,false,13,6296,false,cafecito_social_club,ambience/decor/vibe,241.96
3613456502889129480,reel,Video,clips,https://www.instagram.com/p/DIlk4tiCCYI/,DIlk4tiCCYI,2025-04-24T12:00:11.000Z,2025-04-24,Thursday,12,"Tag your foodie squad, this is what weekends are made for. We've got a table for you, Call 0599400737 for reservations. #treehouserestaurant #reels #explore #goodtimes #goodvibesonly",182,5,treehouserestaurant reels explore goodtimes goodvibesonly,0,,10,false,0,1059,false,treehousegh,food,20.59
3627951982390037518,reel,Video,clips,https://www.instagram.com/p/DJZExs0iEwO/,DJZExs0iEwO,2025-05-08T12:00:05.000Z,2025-05-08,Thursday,12,"Laughter, love and a table full of flavor. #reels #treehouserestaurant #explore #funtimes",89,4,reels treehouserestaurant explore funtimes,0,,9,false,0,1168,false,treehousegh,date night/romance,20.68
3623603620337621119,reel,Video,clips,https://www.instagram.com/p/DJJoEtFCxh_/,DJJoEtFCxh_,2025-05-02T12:00:26.000Z,2025-05-02,Friday,12,Surprise guest? Just natural girl @mzveegh doing what she does best. #treehouserestaurant #performance #reels #explore #dinner,126,5,treehouserestaurant performance reels explore dinner,1,mzveegh,97,false,0,3641,false,treehousegh,birthdays/celebrations,133.41
3612731885803327607,reel,Video,clips,https://www.instagram.com/p/DIjAIJSCNB3/,DIjAIJSCNB3,2025-04-17T12:00:47.000Z,2025-04-17,Thursday,12,"Your Easter table is waiting. Bring your family and friends, we'll bring the flavour. #reels #explore #treehouserestaurant #Easter #goodtimes",141,5,reels explore treehouserestaurant easter goodtimes,0,,19,false,0,1654,false,treehousegh,reservations/bookings,35.54
3638824037528580173,reel,Video,clips,https://www.instagram.com/p/DJ_sy7NCzBN/,DJ_sy7NCzBN,2025-05-23T12:00:36.000Z,2025-05-23,Friday,12,Friendship tastes better with a full table #treehouserestaurant #foodlover #goodfood #friends #dinner #reels #explore,117,7,treehouserestaurant foodlover goodfood friends dinner reels explore,0,,44,false,0,3378,false,treehousegh,food,77.78
3648970514036808443,reel,Video,clips,https://www.instagram.com/p/DKjv1l1Cdr7/,DKjv1l1Cdr7,2025-06-06T12:00:44.000Z,2025-06-06,Friday,12,"Squad goals, good food and great memories. Tag your friends and plan your next night out. #treehouserestaurant #reels #explore #nightout #dinner #foodlover",155,6,treehouserestaurant reels explore nightout dinner foodlover,0,,11,false,0,1308,false,treehousegh,food,24.08
3643897472764069775,reel,Video,clips,https://www.instagram.com/p/DKRuXH-C8eP/,DKRuXH-C8eP,2025-05-30T12:00:47.000Z,2025-05-30,Friday,12,Family time just got tastier. Join us for lunch and create moments to remember! #treehouserestaurant #reels #explore #lunchtime #lunch #family #familytime,154,7,treehouserestaurant reels explore lunchtime lunch family familytime,0,,25,false,0,2181,false,treehousegh,food,46.81
3608383339847375826,reel,Video,clips,https://www.instagram.com/p/DITjYeRClvS/,DITjYeRClvS,2025-04-11T12:00:31.000Z,2025-04-11,Friday,12,"Let's turn dinner into a celebration! Join us for food, fun and dancing. #treehouserestaurant #explore #reels #dinner #goodfood #goodtimes",138,6,treehouserestaurant explore reels dinner goodfood goodtimes,0,,21,false,0,1565,false,treehousegh,food,36.65
3641051577378879724,reel,Video,clips,https://www.instagram.com/p/DKHnR5Wizjs/,DKHnR5Wizjs,2025-05-26T13:47:07.000Z,2025-05-26,Monday,13,"Food isn’t just fuel, it’s an experience. Here’s a taste of what we’re serving up daily. Which one are you trying first? #treehouserestaurant #reels #explore #food #foodinsta",174,5,treehouserestaurant reels explore food foodinsta,0,,19,false,0,3640,false,treehousegh,food,55.4
3603400637456993724,reel,Video,clips,https://www.instagram.com/p/DIB2cnDCk28/,DIB2cnDCk28,2025-04-04T15:00:42.000Z,2025-04-04,Friday,15,When the food is as good as the company. #perfection #perfectpairings #reels #explore #treehouserestaurant,106,5,perfection perfectpairings reels explore treehouserestaurant,0,,85,false,0,3662,false,treehousegh,food,121.62
3582375527338063495,reel,Video,clips,https://www.instagram.com/p/DG3J4_XCbaH/,DG3J4_XCbaH,2025-03-06T14:51:11.000Z,2025-03-06,Thursday,14,"Let the music take over and the good times roll 🎶. Join us for more jazz jams, every Thursday at 7pm! #treehouserestaurant #livemusic #musiclovers",147,3,treehouserestaurant livemusic musiclovers,0,,11,false,0,992,false,treehousegh,date night/romance,20.92
3588814392823365362,reel,Video,clips,https://www.instagram.com/p/DHOB60JC77y/,DHOB60JC77y,2025-03-15T12:00:24.000Z,2025-03-15,Saturday,12,Not just eating but bonding over every bite. #treehouserestaurant #goodvibesonly #tastybites #food,98,4,treehouserestaurant goodvibesonly tastybites food,0,,29,false,1,1875,false,treehousegh,food,52.75
3601165961560405081,reel,Video,clips,https://www.instagram.com/p/DH56Vy8CTRZ/,DH56Vy8CTRZ,2025-04-04T13:00:41.000Z,2025-04-04,Friday,13,"Friends who drink together, stay together. #treehouserestaurant #friends #drinks #reels",87,4,treehouserestaurant friends drinks reels,0,,47,false,0,2584,false,treehousegh,cocktails/drinks,72.84
3590993681786102139,reel,Video,clips,https://www.instagram.com/p/DHVxbpJiGF7/,DHVxbpJiGF7,2025-03-18T12:10:47.000Z,2025-03-18,Tuesday,12,"Live music every Tuesday with @bluejackets_cover, come hang out, enjoy the tunes, and the amazing food. #livemusic #liveband #treehouserestaurant",145,3,livemusic liveband treehouserestaurant,2,"bluejackets_cover, bluejackets_cover",14,false,0,929,false,treehousegh,food,23.29
3571547523590531641,reel,Video,clips,https://www.instagram.com/p/DGQr4zCCio5/,DGQr4zCCio5,2025-02-19T16:19:31.000Z,2025-02-19,Wednesday,16,Join us for smooth jazz tunes this and every Thursday at 7pm! #jazznight #groove #treehouserestaurant,101,3,jazznight groove treehouserestaurant,0,,18,false,0,1881,false,treehousegh,dinner/nightlife,36.81
3585281289223816543,reel,Video,clips,https://www.instagram.com/p/DHBelZACkVf/,DHBelZACkVf,2025-03-10T12:00:13.000Z,2025-03-10,Monday,12,"Good food, great vibes and soulful beats - that's what “Soul Friday” is about! Come to #treehouserestaurant on Fridays from 6pm to feast on the best food and music for the soul #treehouserestaurant #soulfriday #weekendvibes",223,3,treehouserestaurant soulfriday weekendvibes,0,,240,false,0,15001,false,treehousegh,food,390.01
3593162837226780739,reel,Video,clips,https://www.instagram.com/p/DHdepAlCXhD/,DHdepAlCXhD,2025-03-21T12:00:13.000Z,2025-03-21,Friday,12,"Every Friday, we've got the best music with @templegramme that takes you back, and unforgettable experience, and the tastiest dishes. See you at Soul Fridays! #treehouserestaurant #SoulFridays #food",198,3,treehouserestaurant soulfridays food,1,templegramme,27,false,0,2094,false,treehousegh,food,47.94
3596877723345681016,reel,Video,clips,https://www.instagram.com/p/DHqrTt4iPp4/,DHqrTt4iPp4,2025-03-26T15:00:26.000Z,2025-03-26,Wednesday,15,"Come for the soulful tunes, stay for the mouthwatering dishes! Join us for “Soul Fridays” at #treehouserestaurant every Friday from 7pm, to feast on the best food and music for the soul. See you this Friday! #treehouserestaurant #SoulFridays #food #SoulMusic",258,4,treehouserestaurant soulfridays food soulmusic,0,,186,false,1,9130,false,treehousegh,food,282.3
3526693656463559453,reel,Video,clips,https://www.instagram.com/p/DDxVTIBIksd/,DDxVTIBIksd,2024-12-19T19:09:36.000Z,2024-12-19,Thursday,19,Party Ravers!! @djasporaglobal_ has got all the music genres covered💥🎶 EDM• HOUSE• HIPHOP• RNB• DANCEHALL• CARIBBEAN• AFROHOUSE and many more are set to be loud on Jan 1. This isn’t your regular party! It’s a global festival celebrating global music🎶🌍 What genre would you love to hear at @djasporaglobal_ Let’s know in the comments👇🏾,340,0,,1,djasporaglobal_,0,true,0,2570,false,djasporaglobal_,date night/romance,25.7
