id,content_type,instagram_type,product_type,url,shortcode,timestamp,date,day_of_week,hour_utc,caption,caption_length,hashtag_count,hashtags,mention_count,mentions,likes,comments,views,owner_username,pillar,engagement_score
3713596596274658605,post,Sidecar,,https://www.instagram.com/p/DOJWG3IDP0t/,DOJWG3IDP0t,2025-09-10T17:00:05.000Z,2025-09-10,Wednesday,17,"When prawns meet pasta in a spicy tomato sauce, magic happens. Come taste it! For deliveries, contact 0599400737. #treehouserestaurant #pasta #food #goodfood",157,4,treehouserestaurant pasta food goodfood,0,,14,0,0,treehousegh,food,14
3641723026158420867,post,Sidecar,,https://www.instagram.com/p/DKJ_8wwiIOD/,DKJ_8wwiIOD,2025-05-27T12:00:05.000Z,2025-05-27,Tuesday,12,Sizzling Beef Teriyaki meets Chilli rice. Your cravings just met their match! #treehouserestaurant #foodie #foodinsta #lunch #dinner #beefteriyaki #teriyaki,156,7,treehouserestaurant foodie foodinsta lunch dinner beefteriyaki teriyaki,0,,13,0,0,treehousegh,food,13
3638824037528580173,post,Video,clips,https://www.instagram.com/p/DJ_sy7NCzBN/,DJ_sy7NCzBN,2025-05-23T12:00:36.000Z,2025-05-23,Friday,12,Friendship tastes better with a full table #treehouserestaurant #foodlover #goodfood #friends #dinner #reels #explore,117,7,treehouserestaurant foodlover goodfood friends dinner reels explore,0,,44,0,3378,treehousegh,food,77.78
3646796249313232341,post,Sidecar,,https://www.instagram.com/p/DKcBd4AisXV/,DKcBd4AisXV,2025-06-05T14:36:58.000Z,2025-06-05,Thursday,14,"Fresh, fruity and dangerously smooth. RUM BASE is what summer tastes like #treehouserestaurant #drinks #cocktails #drinkspecials",128,4,treehouserestaurant drinks cocktails drinkspecials,0,,11,0,0,treehousegh,food,11
3633025666440226431,post,Sidecar,,https://www.instagram.com/p/DJrGZhUC-Z_/,DJrGZhUC-Z_,2025-05-15T12:00:17.000Z,2025-05-15,Thursday,12,"Just two people, one table and endless memories. #treehouserestaurant #goodvibes #dinnertime #lunchtime #goodtimes",114,5,treehouserestaurant goodvibes dinnertime lunchtime goodtimes,0,,30,1,0,treehousegh,ambience/decor/vibe,35
3638099316507689435,post,Sidecar,,https://www.instagram.com/p/DJ9IA2KCEHb/,DJ9IA2KCEHb,2025-05-22T12:00:44.000Z,2025-05-22,Thursday,12,Frozen Gin and Tonic. Basically a slushy for grown ups #treehouserestaurant #cocktails #drinks,94,3,treehouserestaurant cocktails drinks,0,,16,0,0,treehousegh,cocktails/drinks,16
3636649546832477066,post,Sidecar,,https://www.instagram.com/p/DJ3-X67iPuK/,DJ3-X67iPuK,2025-05-20T12:00:02.000Z,2025-05-20,Tuesday,12,Craving something delicious? Our Tagliatelle Pesto is waiting for you! #treehouserestaurant #foodie #goodfood #lunch #dinner,124,5,treehouserestaurant foodie goodfood lunch dinner,0,,11,0,0,treehousegh,food,11
3697537384195333410,post,Video,clips,https://www.instagram.com/p/DNQSqkYsJ0i/,DNQSqkYsJ0i,2025-08-12T12:14:07.000Z,2025-08-12,Tuesday,12,"SOUL FRIDAY is Where Taste Meets Tempo. Every Friday we're serving up classic Soul and R&B hits with @templegramme and delicious food. Whether you’re vibing at the bar or grooving at your table, this is your Friday reset. #treehouserestaurant #reels #soulfriday #soulmusic #rnb #explore #dinner #goodfood",304,8,treehouserestaurant reels soulfriday soulmusic rnb explore dinner goodfood,1,templegramme,209,6,19030,treehousegh,food,429.3
3648245702637382873,post,Sidecar,,https://www.instagram.com/p/DKhLCMnC-zZ/,DKhLCMnC-zZ,2025-06-03T12:00:45.000Z,2025-06-03,Tuesday,12,"Dining at the Treehouse Restaurant isn't just having a meal, it's an experience #treehouserestaurant #goodfood #goodtimes #lunch #dinnertime",140,5,treehouserestaurant goodfood goodtimes lunch dinnertime,0,,30,1,0,treehousegh,food,35
3643897472764069775,post,Video,clips,https://www.instagram.com/p/DKRuXH-C8eP/,DKRuXH-C8eP,2025-05-30T12:00:47.000Z,2025-05-30,Friday,12,Family time just got tastier. Join us for lunch and create moments to remember! #treehouserestaurant #reels #explore #lunchtime #lunch #family #familytime,154,7,treehouserestaurant reels explore lunchtime lunch family familytime,0,,25,0,2181,treehousegh,food,46.81
